headline,url,description,publication_date,newsletter_headline,newsletter_sub_hed
Tim Walz Is Harris’s Choice for Vice President,https://www.nytimes.com/2024/08/06/us/politics/kamala-harris-vp.html,"Vice President Kamala Harris announced today that she had selected Gov. Tim Walz of Minnesota as her running mate, betting that his Midwestern appeal and plain-spoken attacks on Republicans will help her defeat Donald Trump on Election Day.","Aug. 6, 2024",Tim Walz Is Harris’s Choice for Vice President,"Also, Debby is bringing historic levels of rain to the Southeast. Here’s the latest at the end of Tuesday."
Debby is bringing historic levels of rain to the Southeast,https://www.nytimes.com/live/2024/08/06/weather/debby-storm-forecast,Tropical Storm Debby is delivering massive rainfall to the Southeast after hitting Florida as a Category 1 hurricane.,"Aug. 6, 2024",Tim Walz Is Harris’s Choice for Vice President,"Also, Debby is bringing historic levels of rain to the Southeast. Here’s the latest at the end of Tuesday."
Hamas appointed a new political leader,https://www.nytimes.com/live/2024/08/06/world/israel-iran-hezbollah-gaza,"Hamas announced that Yahya Sinwar, presumed mastermind of the Oct. 7 attacks, will lead the group's political office, succeeding the assassinated Ismail Haniyeh.","Aug. 6, 2024",Tim Walz Is Harris’s Choice for Vice President,"Also, Debby is bringing historic levels of rain to the Southeast. Here’s the latest at the end of Tuesday."
A decline in homeless veterans hints at broader solutions,https://www.nytimes.com/2024/08/06/us/politics/decline-veterans-homelessness.html,"Since 2008, the number of homeless veterans in the U.S. has fallen by more than half, attributed to a federal program providing rental aid, which may offer insights into solving wider homelessness issues.","Aug. 6, 2024",Tim Walz Is Harris’s Choice for Vice President,"Also, Debby is bringing historic levels of rain to the Southeast. Here’s the latest at the end of Tuesday."
SKIP,SKIP,SKIP,"Aug. 6, 2024",Tim Walz Is Harris’s Choice for Vice President,"Also, Debby is bringing historic levels of rain to the Southeast. Here’s the latest at the end of Tuesday."
Breaking arrives at the Paris Games,https://www.nytimes.com/interactive/2024/08/05/arts/dance/breaking-paris-olympics.html,"Breaking will debut as an Olympic sport, marking a watershed moment for a dance form that originated with Black and Hispanic youth in the Bronx during the 1970s.","Aug. 6, 2024",Tim Walz Is Harris’s Choice for Vice President,"Also, Debby is bringing historic levels of rain to the Southeast. Here’s the latest at the end of Tuesday."
The ‘orgasm gap’ isn’t going away,https://www.nytimes.com/2024/08/06/well/family/orgasm-gap-women-age.html,A large new study suggests that the orgasm gap between men and women in heterosexual relationships does not improve with age.,"Aug. 6, 2024",Tim Walz Is Harris’s Choice for Vice President,"Also, Debby is bringing historic levels of rain to the Southeast. Here’s the latest at the end of Tuesday."
SKIP,SKIP,SKIP,"Aug. 6, 2024",Tim Walz Is Harris’s Choice for Vice President,"Also, Debby is bringing historic levels of rain to the Southeast. Here’s the latest at the end of Tuesday."
SKIP,SKIP,SKIP,"Aug. 6, 2024",Tim Walz Is Harris’s Choice for Vice President,"Also, Debby is bringing historic levels of rain to the Southeast. Here’s the latest at the end of Tuesday."
"Inspirational quotes, inspirational food",https://www.nytimes.com/2024/08/06/dining/fine-dining-restaurants-inspirational-quotes.html,"Inside the kitchens of the world’s most renowned restaurants, inspirational quotes motivate staff and even influenced the TV show ""The Bear.""","Aug. 6, 2024",Tim Walz Is Harris’s Choice for Vice President,"Also, Debby is bringing historic levels of rain to the Southeast. Here’s the latest at the end of Tuesday."
SKIP,SKIP,SKIP,"Aug. 6, 2024",Tim Walz Is Harris’s Choice for Vice President,"Also, Debby is bringing historic levels of rain to the Southeast. Here’s the latest at the end of Tuesday."
