headline,url,description,publication_date,newsletter_headline,newsletter_sub_hed
"In Chicago, Obama Aims to Resurrect a Movement",https://www.nytimes.com/2024/08/20/briefing/obama-speech-chicago-nuclear-strategy-biden.html,"Barack Obama headlines the Democratic convention in Chicago, seeking to bolster Kamala Harris's campaign and warn against a Donald Trump presidency.","Aug. 20, 2024","In Chicago, Obama Aims to Resurrect a Movement","Also, Biden approved a secret new nuclear strategy. Here’s the latest at the end of Tuesday."
Israel said it had recovered the bodies of six hostages,https://www.nytimes.com/2024/08/20/world/middleeast/israel-hostage-bodies-recovered-gaza.html,"Israel's defense minister announced that forces recovered the bodies of six hostages from Hamas tunnels in southern Gaza, with five already known to have died in captivity.","Aug. 20, 2024","In Chicago, Obama Aims to Resurrect a Movement","Also, Biden approved a secret new nuclear strategy. Here’s the latest at the end of Tuesday."
Biden approved a secret new nuclear strategy,https://www.nytimes.com/2024/08/20/us/politics/biden-nuclear-china-russia.html,"President Biden approved a classified nuclear strategic plan focusing on China's nuclear arsenal and preparing for possible coordinated nuclear challenges from China, Russia, and North Korea.","Aug. 20, 2024","In Chicago, Obama Aims to Resurrect a Movement","Also, Biden approved a secret new nuclear strategy. Here’s the latest at the end of Tuesday."
A search is underway for survivors of a sunken yacht,https://www.nytimes.com/2024/08/20/world/europe/bayesian-yacht-sinks-sicily-mike-lynch.html,"Deep-sea divers continue searching for six missing passengers, including British tech mogul Mike Lynch, after a yacht sank off Sicily's coast during a storm, with 15 rescued and one body recovered.","Aug. 20, 2024","In Chicago, Obama Aims to Resurrect a Movement","Also, Biden approved a secret new nuclear strategy. Here’s the latest at the end of Tuesday."
SKIP,SKIP,SKIP,"Aug. 20, 2024","In Chicago, Obama Aims to Resurrect a Movement","Also, Biden approved a secret new nuclear strategy. Here’s the latest at the end of Tuesday."
Breakouts in classical music,https://www.nytimes.com/2024/08/20/arts/music/salzburg-festival-artists.html,"The Salzburg Festival remains a gathering for top musicians and a proving ground for artists on the cusp of stardom, with critics highlighting emerging talents.","Aug. 20, 2024","In Chicago, Obama Aims to Resurrect a Movement","Also, Biden approved a secret new nuclear strategy. Here’s the latest at the end of Tuesday."
Why this jar of weed costs $60,https://www.nytimes.com/2024/08/20/nyregion/legal-weed-cost-nyc.html,"Legal marijuana prices can be up to 50% higher due to taxes, security, and fees compared to unlicensed dealers.","Aug. 20, 2024","In Chicago, Obama Aims to Resurrect a Movement","Also, Biden approved a secret new nuclear strategy. Here’s the latest at the end of Tuesday."
SKIP,SKIP,SKIP,"Aug. 20, 2024","In Chicago, Obama Aims to Resurrect a Movement","Also, Biden approved a secret new nuclear strategy. Here’s the latest at the end of Tuesday."
SKIP,SKIP,SKIP,"Aug. 20, 2024","In Chicago, Obama Aims to Resurrect a Movement","Also, Biden approved a secret new nuclear strategy. Here’s the latest at the end of Tuesday."
A century of searches for alien life,https://www.nytimes.com/2024/08/20/science/mars-aliens-radio-signals.html,"One hundred years ago, scientists made early attempts to detect alien life by pointing a radio antenna at Mars, marking the beginning of an enduring search for extraterrestrial existence.","Aug. 20, 2024","In Chicago, Obama Aims to Resurrect a Movement","Also, Biden approved a secret new nuclear strategy. Here’s the latest at the end of Tuesday."
SKIP,SKIP,SKIP,"Aug. 20, 2024","In Chicago, Obama Aims to Resurrect a Movement","Also, Biden approved a secret new nuclear strategy. Here’s the latest at the end of Tuesday."
