headline,url,description,publication_date,newsletter_headline,newsletter_sub_hed
Harris Unveiled Her Economic Agenda,https://www.nytimes.com/live/2024/08/16/us/harris-trump-election,"In her first major policy speech since launching her campaign for president, Kamala Harris explained the core of her economic agenda, promising to fight big corporations and bring down costs, with a new federal ban on price gouging on groceries as a centerpiece.","Aug. 16, 2024",Harris Unveiled Her Economic Agenda,"Also, Russia closed in on a key city in eastern Ukraine. Here’s the latest at the end of Friday."
Russia closed in on a key city in eastern Ukraine,https://www.nytimes.com/2024/08/16/world/europe/russia-ukraine-pokrovsk-kursk.html,"Russian troops are advancing toward the eastern Ukrainian town of Pokrovsk, bringing Russia closer to seizing the entire Donetsk region.","Aug. 16, 2024",Harris Unveiled Her Economic Agenda,"Also, Russia closed in on a key city in eastern Ukraine. Here’s the latest at the end of Friday."
Mediators raced to bridge gaps between Israel and Hamas,https://www.nytimes.com/live/2024/08/16/world/israel-iran-hamas-gaza-war,"High-level negotiations to halt the war in Gaza ended without a breakthrough, but mediators from the U.S., Egypt, and Qatar will continue efforts next week amid concerns of Iranian retaliation.","Aug. 16, 2024",Harris Unveiled Her Economic Agenda,"Also, Russia closed in on a key city in eastern Ukraine. Here’s the latest at the end of Friday."
The real estate industry is about to change,https://www.nytimes.com/2024/08/16/realestate/realtor-commission-fee-rules.html,"Starting tomorrow, real estate agents must adopt new practices that could radically lower the commissions they get from buyers and sellers during a home sale.","Aug. 16, 2024",Harris Unveiled Her Economic Agenda,"Also, Russia closed in on a key city in eastern Ukraine. Here’s the latest at the end of Friday."
SKIP,SKIP,SKIP,"Aug. 16, 2024",Harris Unveiled Her Economic Agenda,"Also, Russia closed in on a key city in eastern Ukraine. Here’s the latest at the end of Friday."
A surprisingly buzzy summer flick,https://www.nytimes.com/2024/08/16/movies/it-ends-with-us-controversy-blake-lively-justin-baldoni.html,"“It Ends With Us,” starring Blake Lively, has become an online sensation due to its box office success and controversies surrounding the film.","Aug. 16, 2024",Harris Unveiled Her Economic Agenda,"Also, Russia closed in on a key city in eastern Ukraine. Here’s the latest at the end of Friday."
Life is more fun with close friendships,https://www.nytimes.com/2024/08/16/well/friendship-relationships.html,"Jancee Dunn provides inventive ways to deepen existing relationships, such as reconnecting over a low-stakes competition.","Aug. 16, 2024",Harris Unveiled Her Economic Agenda,"Also, Russia closed in on a key city in eastern Ukraine. Here’s the latest at the end of Friday."
SKIP,SKIP,SKIP,"Aug. 16, 2024",Harris Unveiled Her Economic Agenda,"Also, Russia closed in on a key city in eastern Ukraine. Here’s the latest at the end of Friday."
SKIP,SKIP,SKIP,"Aug. 16, 2024",Harris Unveiled Her Economic Agenda,"Also, Russia closed in on a key city in eastern Ukraine. Here’s the latest at the end of Friday."
A ‘dose’ of video games,https://www.nytimes.com/wirecutter/reviews/fda-cleared-video-game-for-adhd-endeavorotc/,"The video game EndeavorOTC, approved by the F.D.A. as a medical device, aims to help treat A.D.H.D. symptoms by training users to focus for sustained periods.","Aug. 16, 2024",Harris Unveiled Her Economic Agenda,"Also, Russia closed in on a key city in eastern Ukraine. Here’s the latest at the end of Friday."
SKIP,SKIP,SKIP,"Aug. 16, 2024",Harris Unveiled Her Economic Agenda,"Also, Russia closed in on a key city in eastern Ukraine. Here’s the latest at the end of Friday."
